Concurso;Data do Sorteio;Bola1;Bola2;Bola3;Bola4;Bola5;Bola6;Ganhadores 6 acertos;Rateio 6 acertos;Ganhadores 5 acertos;Rateio 5 acertos;Ganhadores 4 acertos;Rateio 4 acertos;Acumulado 6 acertos;Arrecadação Total;Estimativa prêmio;Acumulado Sorteio Especial Mega da Virada
2297;9092020;20;22;35;40;41;59;0;0;14;9,701,777.00;1200;161,696.00;250,203,719.00;235,580,085.00;6,000,000.00;6,106,408,878.00
2298;12092020;13;17;21;31;41;49;0;0;46;4,165,996.00;3133;87381;603,217,056.00;33,238,080.00;9,000,000.00;6,156,839,358.00
2299;15092020;2;3;19;40;44;60;0;0;22;5,505,482.00;1903;90924;2,715,406,732.00;21,007,638.00;32,000,000.00;6,188,713,198.00
2300;17092020;9;21;37;39;43;54;0;0;76;2,954,174.00;3877;82728;3,128,991,051.00;389,411,595.00;36,000,000.00;6,247,796,672.00
2301;19092020;17;18;35;36;47;52;0;0;66;4,429,626.00;4333;96388;3,667,540,278.00;50,707,269.00;43,000,000.00;6,324,732,277.00
2302;23092020;18;22;25;27;43;44;0;0;126;2,738,062.00;6684;73735;4,303,058,725.00;59,837,436.00;50,000,000.00;6,415,520,628.00
2303;26092020;3;7;17;20;48;50;0;0;145;288,572.00;8431;70899;5,073,849,678.00;725,740,605.00;60,000,000.00;6,525,633,623.00
2304;30092020;12;21;29;54;56;57;0;0;90;4,795,593.00;5934;103,905.00;7,851,109,425.00;748,589,985.00;90,000,000.00;663,921,344.00
2305;3102020;7;16;22;38;55;57;0;0;124;4,819,057.00;9225;92537;8,951,883,475.00;103,643,721.00;100,000,000.00;6,796,466,878.00
2306;7102020;3;19;28;33;57;58;1;10,302,982,638.00;258;2,842,845.00;15713;66683;0;1,272,131,595.00;3,000,000.00;6,989,481,044.00
2307;10102020;16;33;38;46;53;55;0;0;45;4,173,935.00;2828;94881;345,997,223.00;325,774,755.00;6,500,000.00;7,038,909,221.00
2308;14102020;9;13;26;38;58;60;1;664,810,625.00;57;3,036,318.00;3408;72547;0;300,179,745.00;2,500,000.00;7,084,453,995.00
2309;17102020;9;11;29;30;33;60;0;0;38;469,856.00;3092;82491;2,494,694,236.00;30,967,605.00;29,000,000.00;7,131,439,595.00
2310;20102020;13;17;28;29;42;53;0;0;52;3,429,123.00;3573;71294;2,823,168,113.00;309,275,595.00;32,000,000.00;7,178,364,437.00
2311;22102020;3;5;9;35;43;60;0;0;58;4,299,076.00;5162;69006;3,282,490,454.00;43,247,637.00;38,000,000.00;7,243,981,916.00
2312;24102020;3;27;39;46;47;60;0;0;43;7,155,438.00;3773;116,498.00;3,849,276,436.00;533,659,095.00;45,000,000.00;7,324,951,344.00
2313;28102020;3;20;26;45;49;58;0;0;66;542,164.00;5055;101,124.00;4,508,433,678.00;62,063,154.00;52,000,000.00;7,419,116,666.00
2314;31102020;6;7;28;42;45;49;1;5,304,779,653.00;105;4,117,163.00;7551;81787;1,766,339,404.00;749,802,015.00;22,000,000.00;7,532,880,379.00
2315;4112020;1;10;17;26;30;53;0;0;55;4,063,154.00;3898;819;2,178,001,044.00;38,760,129.00;27,000,000.00;7,591,689,185.00
2316;7112020;2;11;43;49;52;56;0;0;56;5,734,538.00;3984;115,151.00;2,769,563,877.00;556,987,815.00;34,000,000.00;7,676,198,163.00
2317;11112020;3;8;30;33;35;48;0;0;132;2,531,177.00;7472;63879;33,850,396.00;57,950,307.00;40,000,000.00;7,764,123,268.00
2318;14112020;28;44;52;54;58;60;0;0;59;6,628,212.00;5014;11,142.00;4,105,421,542.00;678,277,845.00;50,000,000.00;7,867,034,975.00
